,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Fontanai,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Lorenzinia,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Dactyloidites,Skolithos,Treptichnus,Helicodromites,Macanopsis,Unisulcus,Bifungites,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Ctenopholeus,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Monesichnus,Palaeophycus,Paleodictyon,Bergaueria,Asterosoma,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Diplichnites,Cylindricum,Biformites,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Ancorichnus,Compaginatichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Estrellichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fictovichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fontanai,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,61.0,,,,,171.0,14.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fucusopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuersichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,4.4,,,21.4,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,18.6,,,0.0,,,,2.6,,,,,,,,,6.6,,
Furculosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furnasichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glockerichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrochorte,,,0.0,10.0,21.4,,,9.333333333333334,,,,,,1.7,,,6.75,,,,89.0,15.0,,8.166666666666666,,,,26.142857142857142,149.0,,38.0,15.166666666666666,,,,,,9.5,,15.0,31.333333333333332,,5.8,,,,,,28.166666666666668,,,,,,79.0,5.0,,,,,7.6,,,,6.363636363636363,,,,,,,3.0,,,,,,,260.0,22.333333333333332,,,,236.0,68.0,,,,286.0,,
Gyrolithes,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,41.0,,16.0,,,20.5,,,,,,,,,,,,,,0.0,,,,,,,,27.5,,,,,,,6.0,,,,,,,,,,,,,,6.5,,,,,
