,Isopodichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Camborygma,Phycodes,Archaeonassa,Catenichnus,Rosselia,Glockerichnus,Cosmorhaphe,Rusophycus,Furculosus,Spirorhaphe,Scolicia,Syringomorpha,Spirophyton,Ptychoplasma,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Spirophycus,Treptichnus,Helicodromites,Bifungites,Volkichnium,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Climactichnites,Phycosiphon,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Macaronichnus,Arthrophycus,Thalassinoides,Diplichnites,Cylindricum,Daedalus,Arachnostega,Spirodesmos,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Compaginatichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Cruziana,109.5,99.0,,4.8,,10.88888888888889,13.333333333333334,26.0,79.5,,,15.0,,,214.0,53.0,,,,,9.9,142.33333333333334,1.1379310344827587,,,,82.5,,,3.875,,,3.3333333333333335,,,20.5,1.0714285714285714,32.25,49.5,67.5,9.857142857142858,45.0,52.0,,,7.4,40.0,,,,,,33.5,9.333333333333334,,3.0,116.0,6.5,4.0,30.333333333333332,2.1666666666666665,92.0,2.5555555555555554,130.0,10.0,,,,26.09090909090909,6.5,,,0.0,,52.0,24.4,,16.333333333333332,198.0,3.25,11.0,,
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,133.5,,,,29.5,,,,,,52.0,,,,,,,,,31.5,10.833333333333334,65.0,,,,,,,25.333333333333332,,,,,,,41.5,0.0,,,6.333333333333333,,5.25,,,8.5,,,,,,,,18.0,,,,,,,,,,,,,,,12.333333333333334,193.5,,,32.25,,,77.0,,175.0,,94.0,5.0,,
Cylindrichnus,,76.0,,,,,,,155.0,,,47.5,,,204.0,,,,,,22.0,61.0,53.0,,,,77.5,,,45.0,,,0.0,,,15.5,27.666666666666668,,,,55.666666666666664,,,,,27.0,,,,,,,,34.666666666666664,,45.0,,,,97.0,40.333333333333336,,31.0,,,,,,5.0,15.0,,,3.3333333333333335,,,187.0,,,,,21.0,,
Cylindricum,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,130.0,,,,,,,,,,
Dactyloidites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,36.0,,,,0.0,,,,,10.0,,,10.0,,,,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,110.0,,,,12.0,,,,,132.0,,166.0,,,,,51.0,142.0,153.0,,35.0,,,,16.0,0.0,,,,,,120.0,,22.0,,,,,,,81.0,,,,,,5.0,,96.0,,,66.0,,,,,,,,,,,,,,,,,,,183.0,,,,29.0,,,
Didymaulichnus,,76.66666666666667,,,,32.0,50.0,36.0,140.0,,,4.0,,,189.0,,,,,,8.333333333333334,87.0,21.666666666666668,,,,70.0,,,4.285714285714286,,,5.0,,,8.0,17.666666666666668,12.333333333333334,,,48.2,,,,8.0,12.8,,,,,,,,3.0,,60.0,,,7.333333333333333,82.0,5.357142857142857,,3.2,,,,,,0.0,6.111111111111111,,,26.09090909090909,,,172.0,,13.0,,7.666666666666667,36.0,,
Didymaulyponomos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphichnus,48.0,,,0.0,,74.0,64.0,,,,,96.0,,,,,,,,,,,163.0,,,,,,,,,,,,,,84.0,,,,,111.0,28.0,,,,16.0,,,,,,,30.0,,36.0,,,,,50.0,140.0,7.0,67.0,,,,,,,,,4.8,,,,,,,,,,
Diplichnites,,45.0,215.0,7.0,,22.0,16.666666666666668,53.0,124.0,,,22.0,14.0,,173.0,,,,,,16.5,19.0,5.5,,,,,,,3.5,,,31.0,,,,22.142857142857142,,,112.0,64.0,125.0,42.0,,,16.0,30.0,,,,,,,20.8,,7.333333333333333,93.0,,12.666666666666666,66.0,7.2,106.0,0.0,,,,,,3.2,7.8,,,2.5555555555555554,,,156.0,,22.0,,40.0,52.0,,
Diplocraterion,,47.75,16.0,,,31.5,,,110.0,28.0,,14.75,,,74.0,,182.0,,,,2.6666666666666665,13.4,1.1,169.0,,51.0,,,,0.0,16.0,,45.0,,,,19.428571428571427,25.333333333333332,,,93.33333333333333,,,,,19.4,,,,,,,,56.0,,90.0,82.0,16.0,17.333333333333332,52.0,16.5,35.0,3.5,,,,,,4.285714285714286,4.166666666666667,,,3.875,,,66.33333333333333,,137.0,,4.333333333333333,66.0,,
Dolopichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,13.0,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,0.0,,,,,,,,,,,
Dreginozoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsoideichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entradichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ereipichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrellichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fictovichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fontanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fucusopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
