,Siphonichnus,Rhizocorallium,Halimedides,Rebuffoichnus,Saronichnus,Phycodes,Fictovichnus,Katbergia,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Cardioichnus,Trichichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Treptichnus,Lanicoidichna,Piscichnus,Helicodromites,Macanopsis,Kulindrichnus,Daimonelix,Naktodemasis,Haentzschelinia,Vagorichnus,Castrichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Gyrolithes,Daimoniobarax,Kladosystemites,Multina,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Paradictyodora,Phoebichnus,Asterosoma,Macaronichnus,Patagonichnus,Katarrhedrites,Thalassinoides,Psilonichnus,Phymatoderma,Helminthorhaphe,Arachnostega,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Sinusichnus,Teichichnus,Scalichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Fontanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fucusopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuersichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furculosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furnasichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glockerichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrochorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrolithes,89.0,12.5,,,,,,16.0,16.0,,,31.0,101.5,,,,2.3636363636363638,,,,,4.666666666666667,,,,2.4,,,,56.0,7.0,7.666666666666667,,,,,,,,14.0,24.0,24.428571428571427,11.6,,,0.6666666666666666,,37.5,,12.166666666666666,,,,1.5625,0.6,0.0,,,,,,52.5,,21.5,,11.714285714285714,,,,,9.333333333333334,14.0,,,1.3571428571428572,281.0,,,,,65.0,80.0,,40.0,,,39.333333333333336,8.714285714285714,,84.0,,253.0
Gyrophyllites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
