,Gyrochorte,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Laevicyclus,Rusophycus,Heimdallia,Scolicia,Syringomorpha,Ptychoplasma,Trichichnus,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Bifungites,Vagorichnus,Diplocraterion,Dictyodora,Cylindrichnus,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Didymaulyponomos,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Paleodictyon,Conostichus,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Keilorites,Diplichnites,Cylindricum,Daedalus,Yangziichnus,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Teichichnus,Margaritichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Gyrochorte,0.0,,,,,,,,,,,,,,,77.0,,,,,,,,,,22.0,,,,,,,,,,,,,,16.0,,35.0,,,,,,,,,,,,,,,,,,,,,,
Gyrolithes,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrophyllites,,,,,,,,,,,,,,,44.0,,,,,,,,,,,21.0,,,59.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,
Haentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimedides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halopoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartsellea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heimdallia,,25.5,,,,92.0,,81.0,0.0,,,,,20.0,,133.5,,,,,36.0,,27.0,,,,,,,,13.5,,67.5,,,,,,,,,110.0,,,,48.5,,141.0,,,,,,,122.0,56.0,,97.0,,,,,,
Helicodromites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicolithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helminthopsis,,,,,,,,,,14.0,,,,,0.0,,,,,,62.5,,,,76.0,65.0,,,51.5,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,157.0,
Helminthorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hormosiroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrancylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilmenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imponoglyphus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopodichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamesonichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katarrhedrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katbergia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilorites,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Kladosystemites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulindrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labyrintichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laevicyclus,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,87.0,,63.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,
Lanicoidichna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapispira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingulichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockeia,,81.5,,,,36.0,,16.666666666666668,56.0,,,,,37.0,,68.0,,,110.0,,20.0,154.0,15.0,14.0,10.5,,,,122.0,,69.5,,11.5,,9.0,,,,22.666666666666668,,,3.3333333333333335,,,,55.333333333333336,,85.0,,7.333333333333333,,,,,10.0,0.0,,6.666666666666667,,,,,,
Loloichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophoctenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunulichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macanopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaronichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammillichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaritichnus,,,,,,,,58.0,,,,,,46.0,,75.0,,,,,15.5,,,,,,,,,,,,,94.0,,,,,,,,,,,45.0,,,,,26.0,,,,,34.0,,,39.0,,0.0,,,,
Megagrapton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megaplanolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixoteichichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monesichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monocraterion,,,,,,25.75,,4.555555555555555,,,2.875,,,120.0,,1.7894736842105263,,,101.0,,,,54.0,23.0,5.777777777777778,,5.75,,113.0,,,,,,0.0,,19.0,,19.5,32.0,,4.6,,,,35.0,,,,,,,,,39.0,9.0,,7.111111111111111,,,,,,7.75
